num_muts,sum_RF,count_RF,func_freq_RF,sum_NGS,count_NGS,func_freq_NGS
0,1,1,1.0,1,1,1.0
1,33,34,0.9705882352941176,47,56,0.8392857142857143
2,381,513,0.7426900584795322,394,711,0.5541490857946554
3,1807,4556,0.3966198419666374,1108,3733,0.29681221537637287
4,4435,26630,0.16654149455501313,2244,12194,0.18402493029358702
5,9176,108492,0.08457766471260554,3281,28299,0.11594049259691155
6,14477,318186,0.04549854487626734,3605,53143,0.06783583915097002
7,14710,683712,0.02151490686136853,2786,84820,0.032846026880452725
8,8704,1084005,0.008029483258841057,1522,114264,0.013320030805853112
9,2689,1264930,0.0021258093333227927,611,124212,0.004919009435481274
10,784,1072021,0.0007313289571752792,353,101936,0.0034629571495840526
11,86,641412,0.00013407918779193405,147,60418,0.002433049753384753
12,1,256724,3.895233791932192e-06,47,23835,0.0019718900776169498
13,0,61664,0.0,7,5648,0.0012393767705382436
14,0,6720,0.0,2,596,0.003355704697986577
